Sr,Title,Name as per Document (e.g. Leaving Certificate),Birth Date,Student Status,Application No.,Institute,Course,Program,Admission Quota,Student Phone 1,Student Phone 2,Whatsapp No.,Email,Email Alternate,Emergency Contact No.,Father Mobile No.,Mother Mobile No.,Guardian Mobile No.,Aadhaar Card No.
13,Miss,Rhea Dhawan,20-06-2001,Provisionally Admitted,25UG855692,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,5375313329,1656613192,5375313329,ksahota@yahoo.com,shayakiyer@yahoo.com,6221765695,8502802359,4441528126,4390756345,7.38127E+11
14,Ms,Bhavin Hayre,29-07-1998,Provisionally Admitted,25PG298707,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Installment,8154954882,8102809220,8154954882,daniishaan@hotmail.com,urviwali@kale.net,3796530463,2474246216,2859401896,4686967290,9.93032E+11
15,Mr,Hrishita Goel,19-11-1984,Duplicate,25PG808225,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,4334160254,3882231656,4334160254,kimayaaggarwal@mani.com,xkhatri@gmail.com,657387668,9621530355,161207559,417988857,3.09566E+11
16,Mr,Jivika Dani,12-08-1992,Duplicate,25UG888205,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,2532215100,8616372609,2532215100,thakurvritika@hotmail.com,ojasmane@jain-varkey.com,5808941145,7460340686,5800707939,2041038685,9.77911E+11
17,Mrs,Rhea Ratti,11-10-1971,Duplicate,25PG881385,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,8532361341,1614507275,8532361341,gatik76@gmail.com,bhatdhanush@singhal-vaidya.com,7925151748,4819059780,5651099330,2526056523,3.66616E+11
18,Mr,Kismat Bhalla,22-03-2002,Provisionally Admitted,25UG199952,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,8675722067,8510060492,8675722067,uaurora@gmail.com,nityadalal@kaul.biz,9146952054,6428239543,3170290174,6625703896,5.46557E+11
19,Mrs,Aaina Bhagat,08-04-1985,Duplicate,25PG198844,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,6606283596,5044505117,6606283596,dhanush94@gmail.com,kataaradhya@sandal.com,4989931807,2123134080,5811645449,5010161395,1.22452E+11
20,Miss,Inaaya  Date,05-12-2006,Provisionally Admitted,25PG634551,Centre for Distance and Online Education,MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Installment,2297699993,7023802109,2297699993,tarayadav@kala-wason.biz,alishachoudhry@yahoo.com,7857040196,2486945091,6517112474,8596858184,9.07502E+11
21,Mrs,Shamik De,14-02-2001,Duplicate,25UG703924,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,5382134095,4884842109,5382134095,arnav36@yahoo.com,manjari15@hotmail.com,532975836,2359480558,1553236663,2897456833,8.31731E+11
22,Mrs,Mahika Kannan,01-09-2005,Duplicate,25PG765406,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,4915056703,6742667051,4915056703,gatikchahal@iyer.com,abram12@hotmail.com,4537933684,3443311297,6775418747,4272613361,6.7742E+11
23,Miss,Uthkarsh Golla,22-03-1986,Duplicate,25UG653188,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,8550407675,8496172432,8550407675,dhanushthakkar@gmail.com,sainieshani@andra.com,9962311223,3505456755,2118293716,9460987538,4.36042E+11
24,Dr,Vardaniya Keer,13-04-1998,Provisionally Admitted,25PG132640,Centre for Distance and Online Education,MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,3073084861,2856504656,3073084861,wchopra@hotmail.com,xsengupta@basak.com,5340883328,4794111044,7649174651,5343488938,4.75166E+11
25,Mrs,Zara Chaudhari,06-10-1977,Duplicate,25UG944440,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,7690315258,3291329189,7690315258,hsavant@kapadia-kala.com,lgoyal@bala.com,2194130182,9480374190,9968595632,9016092759,2.85078E+11
26,Miss,Ritvik Sani,14-05-1981,Provisionally Admitted,25UG143930,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,7236603549,2836627734,7236603549,pgara@issac.com,misha31@barad.info,8898993608,7702490866,8887120257,6387866710,1.32685E+11
27,Miss,Ayesha Seshadri,20-11-1999,Provisionally Admitted,25UG902347,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Installment,7958662142,2073079690,7958662142,ritvik80@chakraborty-butala.com,reddyzeeshan@gmail.com,6554966557,3304345605,3656237444,5388251350,4.93952E+11
28,Ms,Kiara Venkataraman,06-04-2000,Provisionally Admitted,25UG568002,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,3555660136,1624293904,3555660136,eshanichakrabarti@hotmail.com,xhayre@devi.com,812796619,2818662443,8512430573,1606102478,4.97088E+11
29,Mr,Ritvik Samra,16-12-2003,Duplicate,25UG510004,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,7771931587,7725533419,7771931587,neelofardhaliwal@kibe-jaggi.com,myra44@yahoo.com,172678472,5245404653,9866839545,5198971773,9.91274E+11
30,Miss,Dhanuk Acharya,11-06-1974,Provisionally Admitted,25UG561695,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,3378667987,2478561719,3378667987,vritikabahl@hotmail.com,aarna28@yahoo.com,901902999,8005207408,6466727866,9699974769,2.4396E+11
31,Mr,Romil Gala,15-10-1984,Duplicate,25UG936974,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,7430747610,7436098756,7430747610,mahika21@hotmail.com,shaanbalay@yahoo.com,5512850863,3626298551,6408316383,3146142587,4.75624E+11
32,Ms,Aarna Sem,02-01-1995,Provisionally Admitted,25PG240614,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,6833498012,8395700229,6833498012,divyansh54@bhagat.info,kiara91@khurana.com,396175024,673504947,863833899,6177008081,2.47972E+11
33,Ms,Rohan Wagle,28-07-1985,Duplicate,25PG790158,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,4623078214,6411263901,4623078214,himmatchandra@yahoo.com,lokealia@gmail.com,720474104,6944126274,9568361207,8071734086,6.84562E+11
34,Ms,Heer Dugar,12-08-1972,Duplicate,25UG355293,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,8238061921,9590896526,8238061921,vigseher@gmail.com,hridaanbora@dhawan.com,6879505435,7380209346,185413222,1561187940,9.00783E+11
35,Mr,Emir Vaidya,25-02-1974,Duplicate,25UG392622,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Installment,4093639485,149357009,4093639485,gkapur@yahoo.com,anikabatta@venkatesh.com,6171026718,9909559936,3295251141,2995793559,7.10173E+11
36,Dr,Yasmin Bedi,08-11-1999,Provisionally Admitted,25UG784081,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,3006595595,6367419443,3006595595,rajamahika@gmail.com,mannat15@hotmail.com,6511367306,9900235955,7085057920,2429050149,1.92469E+11
37,Mr,Riya Kar,28-02-1973,Provisionally Admitted,25PG361670,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,2133364153,2860797235,2133364153,satheshayak@hotmail.com,fgarg@bajaj-sen.biz,1151231126,6725746281,7356660989,5696913258,3.76962E+11
38,Mrs,Manjari Kara,30-01-2005,Duplicate,25PG394747,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,2790434913,3690976870,2790434913,kartik47@kaul.biz,nakul71@chander.org,2605884835,9597401538,9574338741,6904454681,4.38573E+11
39,Dr,Rohan Dasgupta,18-10-1984,Duplicate,25PG809137,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,9611135087,9934864294,9611135087,hsule@kala-kulkarni.net,saira14@yahoo.com,9830584904,6334918951,6182529564,8146575786,9.39467E+11
40,Miss,Anya Halder,06-01-1975,Provisionally Admitted,25PG222052,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,1831918215,298343021,1831918215,golasara@comar-mammen.com,shaan55@hotmail.com,3294104984,5140773529,4233672370,6747277315,2.53026E+11
41,Mr,Kiara Shere,19-12-2005,Provisionally Admitted,25UG520806,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,9443500097,4675732802,9443500097,grewalsamiha@gmail.com,abram43@bhatti.com,6346964327,8273911142,4857347457,6297382404,7.56271E+11
42,Dr,Shayak Butala,02-03-1989,Duplicate,25UG275753,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,7364765087,6310239809,7364765087,itandon@yahoo.com,chandermadhav@ahluwalia.com,1449767203,4362737939,8617072883,4327086475,9.67826E+11
43,Dr,Ivana Sankaran,30-09-1977,Duplicate,25UG802959,Centre for Distance and Online Education,MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,6158820602,9194280328,6158820602,onkarkapoor@hotmail.com,kuruvillagokul@bassi.com,2755259819,5724621869,9163427390,7480601225,8.43867E+11
44,Miss,Zaina Bhatnagar,29-09-1989,Provisionally Admitted,25UG313848,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,1858868059,8355645226,1858868059,vritikajani@kapur.com,salvishanaya@yahoo.com,3974169864,4750302912,7714208883,7654020675,7.19546E+11
45,Mr,Aarav Kothari,28-03-1995,Provisionally Admitted,25PG362736,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,5449286691,3984785422,5449286691,zchandran@ratti-kaul.com,kadehiran@hotmail.com,2803371383,1927918505,8891078946,6337390435,9.11271E+11
46,Mrs,Jiya Cheema,24-05-1971,Provisionally Admitted,25PG613046,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,4541094552,6286918705,4541094552,hshukla@tailor.com,advik52@yahoo.com,4798443669,8370483740,5801758884,7459038062,1.76143E+11
47,Mr,Pranay Wadhwa,14-08-1977,Duplicate,25PG957395,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,5577911207,4115625443,5577911207,chandrabaiju@ramesh.com,wvenkataraman@boase.com,1795041858,5822571493,5308790502,2672115409,1.36279E+11
48,Mr,Kanav Kaur,15-01-2002,Provisionally Admitted,25UG902499,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,9248034736,4651492031,9248034736,pdash@date.info,gabamiraya@kapoor-lad.com,4809604938,4586147600,1852446369,8619239014,7.94062E+11
49,Mr,Tanya Setty,23-12-1991,Duplicate,25UG192149,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,2633217536,8927777752,2633217536,nitara54@hotmail.com,ygoyal@sahota.com,8770384487,8922823696,3745454562,8462332959,6.65308E+11
50,Mrs,Kanav Sathe,18-07-1979,Provisionally Admitted,25UG863144,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,2435304461,7951163933,2435304461,hrishita61@hotmail.com,vgupta@gmail.com,8276256557,7199745199,1192699788,3372933048,8.86954E+11
51,Dr,Sara Andra,01-07-1988,Provisionally Admitted,25UG453255,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,7010031656,8296116481,7010031656,nsampath@bhattacharyya.info,pihuyohannan@lall-dyal.info,4730464989,605472446,508323417,4881701704,6.48126E+11
52,Mrs,Kartik Borde,14-10-1982,Duplicate,25PG107286,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,9972022620,1580967635,9972022620,hirankala@kalita-gola.com,ladsiya@mannan.info,9937372803,5793302365,903943703,7618096818,8.13022E+11
53,Mrs,Jayant Dugal,03-08-1973,Provisionally Admitted,25UG925318,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,6956508566,3609195197,6956508566,bavasahil@bedi.biz,smangal@gmail.com,9420087637,9390735999,9510606970,8281618128,5.36199E+11
54,Mr,Ivan Mangal,05-12-1981,Duplicate,25PG835166,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,3451074989,9442907096,3451074989,ucherian@johal.net,samiha20@yahoo.com,173713278,7742712899,903195504,2238627244,6.19039E+11
55,Miss,Saira Karpe,29-09-1987,Duplicate,25PG855964,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4162467401,6955415554,4162467401,piyer@hotmail.com,srinivasdishani@ramesh-dasgupta.com,7009492816,423123647,9377258482,5608564129,6.39294E+11
56,Dr,Miraan Tailor,01-04-1999,Duplicate,25PG999595,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,6663215797,9940293774,6663215797,toorshlok@gmail.com,romilsaini@yahoo.com,9229229222,7184272290,1989369598,4563695503,1.87816E+11
57,Miss,Ira Raval,27-02-1981,Duplicate,25UG134262,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,7767563812,1174318949,7767563812,saksham19@yahoo.com,sehgalishita@hotmail.com,2269489262,1240038633,607138127,1315985684,4.53539E+11
58,Mr,Divij Kari,22-01-1992,Duplicate,25PG226713,Centre for Distance and Online Education,MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Installment,7129113191,820010640,7129113191,gokul79@yahoo.com,manikyaramanathan@yahoo.com,4040498246,797647643,7099663564,5105223953,7.54404E+11
59,Mrs,Rohan Karpe,10-12-2002,Duplicate,25PG373368,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Installment,5303117859,234405745,5303117859,aniruddhkhare@gmail.com,sarmavidur@yahoo.com,7870371217,442075757,4102051239,5186521110,7.68933E+11
60,Miss,Rati Sunder,08-04-2003,Provisionally Admitted,25UG302357,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,8544504984,4326037629,8544504984,nayantarabumb@gmail.com,venkataramanmyra@rout-wable.com,6917583153,2480761510,6503072855,6390326412,3.87091E+11
61,Dr,Lakshit Gour,17-12-1994,Provisionally Admitted,25PG391578,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,2746234216,6107896182,2746234216,miraya12@hotmail.com,vagrawal@gmail.com,4022250347,2011814356,838912695,2863998776,5.07089E+11
62,Ms,Shamik Kamdar,16-04-1988,Provisionally Admitted,25PG184352,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,6650897733,2188767250,6650897733,samiindrans@hayer.net,xravi@gmail.com,8652270221,8034915329,3077304759,9383000994,2.0883E+11
63,Miss,Jayan Ghosh,30-11-1975,Provisionally Admitted,25UG980159,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,9419012145,1703867883,9419012145,vardaniya61@kalita-barman.info,abrar@babu.net,3311943206,7071430168,2627772925,740536454,8.97742E+11
64,Miss,Jivika Raval,09-01-1980,Provisionally Admitted,25PG815146,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,9072488692,7587625723,9072488692,yuvaan82@tiwari.com,dhruv62@tak.com,8655291288,9795022686,8503383471,7545308042,8.64046E+11
65,Ms,Vaibhav Singh,26-04-2007,Duplicate,25PG683094,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,9793471412,448526268,9793471412,jbarad@gmail.com,samraprerak@gopal-kota.com,9030828443,8487108946,4049165944,46848410,4.16147E+11
66,Dr,Raghav Garde,26-09-1972,Provisionally Admitted,25PG407154,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,7543320244,2479815131,7543320244,xdevi@yahoo.com,geralakshit@gmail.com,3225882728,6480100294,5970341559,9598922906,2.05112E+11
67,Ms,Taran Boase,07-04-1994,Duplicate,25PG650535,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,412867024,1940829940,412867024,umangchadha@subramaniam.info,armaan37@kurian.com,7157697104,4119842645,4877984299,296746767,6.58309E+11
68,Mrs,Zeeshan Bail,01-08-1988,Duplicate,25UG920544,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,8107580619,7324984198,8107580619,rmahal@rege.com,jiya33@hotmail.com,9968076431,3571051821,2813669594,8160963543,6.07104E+11
69,Miss,Aradhya Bhandari,04-04-1975,Duplicate,25UG612001,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,7717875619,6337040815,7717875619,yuvaan93@baria.com,usinghal@gmail.com,6500448893,1470176610,8586874272,2059875485,5.06999E+11
70,Miss,Miraya Shenoy,15-05-1989,Provisionally Admitted,25PG530438,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,8884017933,8752466861,8884017933,alisha32@dalia.net,himmat39@hotmail.com,7306102295,4219396444,5367926400,3626556232,7.07863E+11
71,Ms,Shray Chada,26-02-1993,Provisionally Admitted,25PG349109,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,1465512885,5119149902,1465512885,hmallick@ramesh.com,miraandoshi@kannan.com,967957698,5650898018,4023095,4291174153,4.97863E+11
72,Mr,Azad Garg,31-12-1989,Duplicate,25UG272548,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4575660843,5650746602,4575660843,ryan46@yahoo.com,dadaneelofar@bumb-baria.com,2223475504,1961274310,4704677892,7056947042,7.93728E+11
73,Ms,Darshit Edwin,02-07-2000,Duplicate,25UG597480,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,779527154,9388188286,779527154,hviswanathan@hotmail.com,chhabrapihu@deep.com,2152800004,4785035557,3698095757,3126731322,5.73912E+11
74,Miss,Nehmat Anand,22-01-2001,Duplicate,25PG698495,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,4864664128,1758991632,4864664128,nirvaanyohannan@hotmail.com,kkuruvilla@jani.biz,4049602020,2846572021,4237860402,5264466512,9.91049E+11
75,Miss,Alisha Kala,29-08-2006,Duplicate,25UG740263,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,4436680376,31988716,4436680376,chanashalv@balay.com,ivansridhar@yahoo.com,7959325976,9404863719,9289210004,4769836686,4.86502E+11
76,Dr,Madhav Jha,06-06-1997,Provisionally Admitted,25PG763880,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,6973641649,7257919669,6973641649,asehgal@yahoo.com,dmaharaj@dube.com,182252160,9651133671,9150169794,420238930,1.15456E+11
77,Mrs,Kiaan Wable,07-11-2004,Provisionally Admitted,25UG591072,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,5992556121,7291243344,5992556121,yakshit72@hotmail.com,prishasha@yahoo.com,3917011650,5730565748,3669546517,995486210,6.16403E+11
78,Dr,Sana Aurora,06-06-1995,Duplicate,25UG685312,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,6233759650,5384879025,6233759650,mamootybhagat@chada.com,shahdharmajan@gmail.com,9461833603,9367152012,3388943370,467624384,5.91792E+11
79,Ms,Jayant Shroff,17-09-1977,Provisionally Admitted,25UG758688,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,1204612099,5074214223,1204612099,shuklavihaan@sarma.com,ysavant@yahoo.com,3581448697,6034559870,9150817782,4664206576,5.55135E+11
80,Mr,Nishith Dua,30-04-1990,Provisionally Admitted,25UG150125,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,6148310504,9177978627,6148310504,icheema@yahoo.com,farhan02@hotmail.com,2628546080,4254553332,5206648487,9246944265,3.80715E+11
81,Mr,Diya Ramakrishnan,15-02-1993,Duplicate,25UG191727,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,9758924268,4768052203,9758924268,arnavkhanna@mandal.org,vedikakari@gmail.com,3039597096,920580205,682712226,1802219647,1.81519E+11
